Kategori,Alt Kategori,Ürün Grubu,Komisyon_%_KDV_Dahil
Ofis ve Kırtasiye,Masa Makineleri,Masa Makineleri,10.0
Elektronik / Bilgisayar & Tablet,Masaüstü Bilgisayarlar,Masaüstü Bilgisayarlar,6.0
Elektronik / Beyaz Eşya,Mikrodalga Fırınlar,Mikrodalga Fırınlar,10.0
Ev Dekorasyon,Mobilya,Mobilya,15.0
Otomobil & Motosiklet,Modifiye ve Tuning,Modifiye ve Tuning,12.0
Elektronik / Bilgisayar & Tablet,Monitörler,Monitörler,6.0
Otomobil & Motosiklet,"Motosiklet, Utv ve Atv","Motosiklet, Utv ve Atv",10.0
Ev Dekorasyon,Mutfak Araçları ve Gereçleri,Mutfak Araçları ve Gereçleri,15.0
Süpermarket,Mutfak Sarf Malzemeleri,Mutfak Sarf Malzemeleri,11.0
Takı & Gözlük & Saat,Mücevher ve Değerli Taş,Mücevher ve Değerli Taş,15.0
Film & Müzik & Oyun,Müzik,Müzik,15.0
Elektronik / Televizyon & Ses Sistemleri,Müzik Sistemleri,Müzik Sistemleri,10.0
Elektronik / Beyaz Eşya,Ocaklar,Ocaklar,12.0
Ofis ve Kırtasiye,Ofis Makineleri,Ofis Makineleri,10.0
Ofis ve Kırtasiye,Ofis Mobilyası,Ofis Mobilyası,10.0
Ofis ve Kırtasiye,Ofis ve Kırtasiye Ürünleri,Ofis ve Kırtasiye Ürünleri,10.0
Otomobil & Motosiklet,Oto Aksesuar,Oto Aksesuar,15.0
"Anne, Bebek, Oyuncak",Oto Koltuğu ve Ana Kucağı,Oto Koltuğu ve Ana Kucağı,15.0
Otomobil & Motosiklet,Oto Lastik ve Jant,Oto Lastik ve Jant,10.0
Otomobil & Motosiklet,Oto Ses ve Görüntü Sistemleri,Oto Ses ve Görüntü Sistemleri,10.0
Spor & Outdoor,Outdoor,Outdoor,12.0
Hobi & Oyuncak,Oyuncak Arabalar,Oyuncak Arabalar,15.0
Hobi & Oyuncak,Oyuncak Figürler,Oyuncak Figürler,15.0
Hobi & Oyuncak,Oyuncak Müzik Aletleri,Oyuncak Müzik Aletleri,15.0
Elektronik / Akıllı Güvenlik Sistemleri,Pasif Network Ürünleri,Pasif Network Ürünleri,12.0
Hobi & Oyuncak,Peluş Oyuncaklar,Peluş Oyuncaklar,15.0
Elektronik / Televizyon & Ses Sistemleri,Projeksiyon Sistemleri,Projeksiyon Sistemleri,10.0
Hobi & Oyuncak,Puzzlelar,Puzzlelar,15.0
Yapı Market & Bahçe,Reklam ve Tanıtım Ürünleri,Reklam ve Tanıtım Ürünleri,15.0
Takı & Gözlük & Saat,Saat,Saat,12.0
Ofis ve Kırtasiye,Sanatsal Malzemeler,Sanatsal Malzemeler,10.0
Kitap,"Sağlık, Spor ve Beslenme","Sağlık, Spor ve Beslenme",12.0
Elektronik / Televizyon & Ses Sistemleri,Ses Sistemleri,Ses Sistemleri,10.0
